Dataset,BOOSTING Jaccard,BOOSTING FPS,BOOSTING kbps,KCF Jaccard,KCF FPS,KCF kbps,MEDIANFLOW Jaccard,MEDIANFLOW FPS,MEDIANFLOW kbps,MIL Jaccard,MIL FPS,MIL kbps,TLD Jaccard,TLD FPS,TLD kbps,Attributes
Sylvester,0.5469466614,4.4960054247,6.0259194077,0.6426567296,7.3352931074,9.8313682749,0.4512209457,28.8041517785,38.6057134783,0.5000738862,1.1994936926,1.6076609431,0.4048755525,1.473543372,1.9749650555,"IV ,IPR ,OPR"
Skating1,0.3538131254,3.8773507471,52.4754236455,0.495878162,8.7137555542,117.9305262971,0.1104865843,12.622115807,170.8256274631,0.4632221006,1.1246139446,15.2203390992,0.2560675456,1.0391125289,14.0631770834,"IV ,SV ,OCC ,DEF ,OPR ,BC"
Skating2,0.2575388872,2.5491369004,14.2881558749,0.3198822359,3.0754591825,17.2382425514,0.0200544428,12.8303065024,71.9150937714,0.2482447616,1.2742698284,7.1424041336,0.1259851437,1.1176193919,6.2643634706,"SV ,OCC ,DEF ,FM ,OPR"
Jogging,0.1559305766,3.954697676,15.3786606844,0.1617343613,5.826177362,22.6562969101,0.1400788038,27.2299137939,105.8891574049,0.2782898607,1.2360242275,4.8065361123,0.5865433815,0.7977032747,3.1020343381,"OCC ,DEF ,OPR"
BlurOwl,0.0912707373,2.5661792225,29.3743885563,0.0891281239,5.2547151315,60.1493623955,0.0425438837,10.2935423716,117.8275120433,0.1301415225,1.1989182075,13.7237060321,0.3107525307,1.0092496527,11.5526192363,"SV ,MB ,FM ,IPR"
Subway,0.1816180324,5.8628675285,80.5212326459,0.1683537767,23.3080541992,320.1152414869,0.1822711327,25.3274747322,347.8501732004,0.1815000069,1.2552012675,17.2390648063,0.321030363,1.2143995269,16.678689456,"OCC ,DEF ,BC"
David,0.2055107774,4.5594981185,48.5627018539,0.2042409942,10.4470522375,111.2703788608,0.179551683,27.11341445,288.7819290537,0.2408673345,1.2690834386,13.5168650263,0.0353924426,0.7066263565,7.5261978795,"IV ,SV ,OCC ,DEF ,MB ,IPR ,OPR"
FleetFace,0.5867561537,1.1248793637,12.9058397247,0.6275320725,4.1921481433,48.0968837976,0.5606679755,8.9835521721,103.0690829945,0.5165673692,1.1330633377,12.9997351777,0.3828456183,0.4146857899,4.7577264851,"SV ,DEF ,MB ,FM ,IPR ,OPR"
Dog1,0.5129289167,5.4131858474,7.2229314494,0.5372020884,12.9188993826,17.237968042,0.7605823114,28.6117613682,38.1772946352,0.5313146941,1.1986578735,1.5993952353,0.4922281182,0.8433644939,1.1253195619,"SV ,IPR ,OPR"
BlurCar4,0.6782081017,2.4070785072,45.8491144234,0.5702008573,1.8285522778,34.8295671969,0.0463512389,9.9801350428,190.0978103399,0.149458221,1.1415121878,21.743089292,0.2435421754,0.5582006555,10.6323934378,"MB ,FM"
Walking,0.3341249741,3.9415513313,99.6731809839,0.367625588,8.0957094517,204.722720964,0.0935260217,7.5035379639,189.7480039262,0.4277453054,1.1303905811,28.5850964509,0.5438364401,0.5349798821,13.5284668713,"SV ,OCC ,DEF"
Bolt2,0.00615501,4.8793696991,50.7571419894,0.4776667902,10.3633346073,107.8035235267,0.0097170235,22.3413334945,232.4034263342,0.0074402389,1.2362573432,12.8600399996,0.0294257269,1.4368023731,14.9461890694,"DEF ,BC"
BlurCar3,0.1780386956,2.58014049,52.3296099386,0.2130385629,4.4169819593,89.5838594571,0.1176795018,9.9753981392,202.3179340911,0.1593231036,1.1825739435,23.9845982902,0.4290477526,0.8121149097,16.4710629572,"MB ,FM"
Doll,0.3795090096,4.7137834468,3.4248297453,0.5654517453,7.7389641127,5.6227942565,0.2059875936,20.3791752184,14.8066211061,0.3012240385,1.2006293321,0.8723249797,0.6085693863,1.0200577147,0.7411295073,"IV ,SV ,OCC ,IPR ,OPR"
Tiger1,0.2469884855,2.4931339409,50.8514571517,0.515966755,4.1650285303,84.9524232803,0.1367280752,9.7486690926,198.8397095383,0.1121606239,1.1267546471,22.9819644725,0.0446941065,0.7641903965,15.5868862746,"IV ,OCC ,DEF ,MB ,FM ,IPR ,OPR"
Liquor,0.3922430065,2.1341509241,8.8309693411,0.2580858497,4.0636791413,16.815224033,0.2267823377,9.9538071839,41.1881676577,0.2706077246,1.1366576226,4.7034108519,0.4605666818,0.7081001704,2.9300696705,"IV ,SV ,OCC ,MB ,FM ,OPR ,OV ,BC"
Tiger2,0.2523870045,2.8842261939,57.0506280109,0.5820223837,5.2409188483,103.6665266689,0.0700193763,11.3430851665,224.3687175785,0.2687059485,1.1216509909,22.1865031163,0.0404710845,0.7013068111,13.8720028562,"IV ,OCC ,DEF ,MB ,FM ,IPR ,OPR ,OV"
CarScale,0.3999424985,5.6747546599,92.61199605,0.4007744921,22.1829790534,362.0262181517,0.5531980626,15.3484930604,250.4874067456,0.3372334488,1.1695547386,19.0871333344,0.4068972144,0.7780940408,12.6984947466,"SV ,OCC ,FM ,IPR ,OPR"
MotorRolling,0.1586619154,1.2317151508,40.8052872045,0.0836684032,18.6768580437,618.7425364182,0.090791984,12.8384325014,425.3223037283,0.1185747585,1.2847683539,42.562877982,0.0790520874,1.071200066,35.4876095471,"IV ,SV ,MB ,FM ,IPR ,BC ,LR"
Jump,0.0460736439,5.7886796103,109.1477068672,0.0759245162,8.5298716811,160.8339028139,0,26.5085849476,499.8292277523,0.0538787359,1.5638627254,29.4872132897,0,18.6037787196,350.7811665184,"SV ,OCC ,DEF ,MB ,FM ,IPR ,OPR"
Biker,0.2445664876,6.4682423978,247.7199216177,0.2394730913,57.4517344312,2200.2791909818,0.3639439781,12.2641286241,469.6900324121,0.2082970293,1.1912472726,45.6222359737,0,0.5117166045,19.5976571944,"SV ,OCC ,MB ,FM ,OPR ,OV ,LR"
Diving,0.2214573358,5.2256397038,51.2796419528,0.2223214895,8.0225209407,78.725672783,0.1504486579,24.4577633855,240.0060892974,0.2250248223,1.2966113922,12.7237566521,0.0943034257,2.4347461023,23.892368294,"SV ,DEF ,IPR"
Singer1,0.1897787427,3.8140445426,56.2598891263,0.3499103555,2.301333799,33.9463220551,0.7135804075,12.7768049955,188.4670261232,0.3513818197,1.3655924512,20.1434668735,0.4272944725,0.8709981727,12.8478469714,"IV ,SV ,OCC ,OPR"
Toy,0.3761596601,5.0600284912,33.8589267066,0.4116882889,7.2486485312,48.5039678671,0.581843432,25.6459000977,171.6082534417,0.4283523913,1.1978392067,8.0152809372,0.2082888452,1.513379734,10.1267045396,"SV ,FM ,IPR ,OPR"
Crossing,0.6754571385,6.63432676,113.8517939754,0.6802123689,23.4372470689,402.2069941909,0.2807621272,24.6890745823,423.6896273665,0.191367771,1.3073436228,22.435346069,0.235907561,1.3064544285,22.4200865907,"SV ,DEF ,FM ,OPR ,BC"
Skater2,0.321136761,4.4116785711,19.974535466,0.1941482856,6.9930396697,31.6620344493,0.0406919574,27.5466007241,124.7213604212,0.4965717136,1.2364797281,5.598347156,0.3469251317,1.5290836376,6.9231551795,"SV ,DEF ,FM ,IPR ,OPR"
Football1,0.4201023733,11.7852336511,191.7925695555,0.445834432,35.2246051105,573.24425851,0.6983095699,33.3820574185,543.2586878519,0.3828306934,1.8984832627,30.8958646041,0.2482607092,2.4696936868,40.1917273956,"IPR ,OPR ,BC"
Board,0.4878898217,1.9978528536,20.6674433128,0.6319162516,3.1819357484,32.916576708,0.2743078037,10.2957856435,106.5081273467,0.5066826372,1.1404499414,11.7977580147,0.015826486,0.6133818904,6.345329901,"SV ,MB ,FM ,OPR ,OV ,BC"
Skater,0.5024815121,3.3808096822,38.2733171573,0.5043374256,3.007909269,34.0518030458,0.4084512836,25.9572850835,293.8560575488,0.6153773438,1.1884447917,13.454091981,0.379554924,1.4292711679,16.1804283157,"SV ,DEF ,IPR ,OPR"
David2,0.4785464144,6.4865335328,21.7831349983,0.817876579,26.9627403601,90.5465161348,0.7044925097,26.9138671893,90.3823898148,0.3845816549,1.2270357006,4.1206422783,0.3515775663,1.1791100582,3.9596979566,"IPR ,OPR"
BlurBody,0.437079961,2.4723640156,53.6175328677,0.4536300437,1.6898348539,36.6470209283,0.0027541365,10.2536578921,222.3684844065,0.1794348727,1.1135423676,24.1491115874,0.4600117768,0.7254667537,15.7330139351,"SV ,DEF ,MB ,FM ,IPR"
Girl2,0.0623445427,3.259301124,15.6550821168,0.0582749961,18.7864652779,90.2351901275,0.0306843092,10.8393967369,52.0638135461,0.2296443235,1.1618078996,5.5803981836,0.2779347756,1.0298771922,4.946708328,"SV ,OCC ,DEF ,MB ,OPR"
Lemming,0.3506982923,2.4708220623,13.3257819089,0.3313926143,2.6025873859,14.0364263511,0.0920280334,9.7802874183,52.7476175366,0.2853979665,1.1103292803,5.988292748,0.0916920334,0.6976953498,3.7628513249,"IV ,SV ,OCC ,FM ,OPR ,OV"
Trans,0.4917812035,1.6560911781,67.0514964783,0.5336255092,1.6155686599,65.4108286681,0.2718850809,12.9278025321,523.4183464226,0.5129869382,1.2749118554,51.6183824379,0.2877052993,1.5679011126,63.4808743152,"IV ,SV ,OCC ,DEF"
Shaking,0.4427061735,3.0865775157,43.6530248646,0.5199958855,4.3114681844,60.9764786076,0.0023477582,12.4371114385,175.8962903445,0.3919534103,1.2201820689,17.2568606882,0.0023477582,2.1707091602,30.7000295521,"IV ,SV ,IPR ,OPR ,BC"
Couple,0.0836242656,5.8770067689,76.6566100292,0.0474567749,15.1406832793,197.4871732081,0.0290127293,31.6097542204,412.3011420054,0.0114654541,1.3406036927,17.486135122,0.2820592213,1.8922409892,24.6814042074,"SV ,DEF ,FM ,OPR ,BC"
Coupon,0.9198595904,3.1473863283,17.3782067208,0.8855709767,3.8199812957,21.0919212645,0.4180374041,26.3253671642,145.3547880231,0.8783786345,1.1903130006,6.5722803713,0.1658057631,1.811319755,10.0011520216,"OCC ,BC"
BlurCar2,0.094284694,1.5516683097,19.1629705488,0.2394261448,7.1115945315,87.8275825499,0.1489864111,10.0741171635,124.4144829794,0.1694986899,1.1618288833,14.3484870661,0.2984505883,0.4860403529,6.002556674,"SV ,MB ,FM"
Car4,0.2289370769,2.2115233488,6.8163390886,0.3923805251,4.4219736689,13.6293708972,0.1773927262,26.3398071662,81.1843371559,0.2969862608,1.2156421527,3.7468422516,0.356741587,0.8063254254,2.4852495987,"IV ,SV"
